codigo_materia_prima;descricao_materia_prima;consumo_mp_12_meses;consumo_mp_6_meses;consumo_mp_3_meses;media_12_meses;media_6_meses;media_3_meses;maior_media
813521;SUPORTE DA BUCHA MANCAL MODELO NOVO (P/ EIXO 20MM);19481,0;8146,0;4652,0;1623,4167;1357,6667;1550,6667;1623,4167
813281;SUPORTE ORELHA DO BV/PIVÔ;19481,0;8146,0;4652,0;1623,4167;1357,6667;1550,6667;1623,4167
813511;PINO DESTRAVAMENTO LINHA BV/ PORTA CADEADO HZ/ ESTICAD. CANCELA;16873,0;7555,0;4433,0;1406,0833;1259,1667;1477,6667;1477,6667
813515;CALÇO DO ESTATOR P28 BV/PIVO;17288,0;6670,0;3856,0;1440,6667;1111,6667;1285,3333;1440,6667
811761;SACO PLASTICO TRANSPARENTE 14CM X 40CM;16337,0;7195,0;4251,0;1361,4167;1199,1667;1417,0;1417,0
813048;MANCAL PERFIL SUPERIOR BV;15988,0;7181,0;4247,0;1332,3333;1196,8333;1415,6667;1415,6667
813517;SUPORTE UNIVERSAL PORCA DO FUSO;16013,0;7181,0;4247,0;1334,4167;1196,8333;1415,6667;1415,6667
813277;ROLAMENTO PLÁSTICO DO FUSO BV;15985,0;7181,0;4247,0;1332,0833;1196,8333;1415,6667;1415,6667
401303;ABRAÇADEIRA UV PRETA 300X3,6;15272,0;7181,0;4247,0;1272,6667;1196,8333;1415,6667;1415,6667
501084;GRAXA BRANCA SACHE 15G;15272,0;7181,0;4247,0;1272,6667;1196,8333;1415,6667;1415,6667
804430;CAPA DO ROLAMENTO DOS MOTORES;16908,0;8048,0;3640,0;1409,0;1341,3333;1213,3333;1409,0
811276;ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR;11168,0;6908,0;4124,0;930,6667;1151,3333;1374,6667;1374,6667
208006;ANEL ENCODER - ROUND MAGNET;15764,0;5773,0;2383,0;1313,6667;962,1667;794,3333;1313,6667
402013;RETENTOR GR 20X30X7 TC GTOP;15646,0;7722,0;3530,0;1303,8333;1287,0;1176,6667;1303,8333
911079;PLACA REVISADA DO MODULO WIFI/BLUETOOTH CENTRAL IZZY;15566,0;5814,0;2586,0;1297,1667;969,0;862,0;1297,1667
811040;MANUAL DE INSTALAÇÃO LINHA IZZY QR CODE BILINGUE;15565,0;5813,0;2585,0;1297,0833;968,8333;861,6667;1297,0833
813507;CASE DE PROTEÇÃO DO MÓDULO WIFI IZZY;15550,0;5809,0;2584,0;1295,8333;968,1667;861,3333;1295,8333
813260;CALÇO DO ESTATOR NEW BV;15520,0;7716,0;3542,0;1293,3333;1286,0;1180,6667;1293,3333
813292;BRACINHO ARTICULADO BV E NEW BV;14274,0;6475,0;3875,0;1189,5;1079,1667;1291,6667;1291,6667
813477;EIXO DE TRAÇÃO DA PORCA ACIONADORA - ZINCADO;14309,0;6475,0;3875,0;1192,4167;1079,1667;1291,6667;1291,6667
813263;ROLAMENTO PLÁSTICO EIXO ENGRENAGEM;15403,0;7607,0;3437,0;1283,5833;1267,8333;1145,6667;1283,5833
911127;PLACA REVISADA NOVA CENTRAL IZZY;15325,0;5783,0;2574,0;1277,0833;963,8333;858,0;1277,0833
813034;TAMPA LISA DO REDUTOR DA CARCAÇA DO BASCULANTE;15240,0;7338,0;3510,0;1270,0;1223,0;1170,0;1270,0
401199;PORCA PARLOCK MA 6MM ZB;13971,0;7453,0;3768,0;1164,25;1242,1667;1256,0;1256,0
813601;SENSOR DE FIM DE CURSO REED BV/NEW BV/PIVO 1,5M;13050,0;6068,0;3706,0;1087,5;1011,3333;1235,3333;1235,3333
101309;CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMRW CANECA PLASTICA 30UF 250V 50;14651,0;5427,0;2958,0;1220,9167;904,5;986,0;1220,9167
401109;PF A/A PAN PHS 3,9 X 13MM ZI;12386,0;6602,0;3642,0;1032,1667;1100,3333;1214,0;1214,0
813412;DISCO DE FRICÇÃO DE CELEROM Ø20MM;14463,0;5856,0;3545,0;1205,25;976,0;1181,6667;1205,25
813524;COPO DE FREIO PIVOTANTE/ NEW BV SPEED;14463,0;5856,0;3545,0;1205,25;976,0;1181,6667;1205,25
403047;MOLA DO FREIO MOTOR PIVOTANTE/ NEW BV;14432,0;5831,0;3529,0;1202,6667;971,8333;1176,3333;1202,6667
813399;PERFIL AL 1,5M SOL 7 STLF-0864 6063;11000,0;5315,0;3572,0;916,6667;885,8333;1190,6667;1190,6667
811104;GABARITO DE INSTALAÇÃO LINHA TRINO;14054,0;5008,0;2063,0;1171,1667;834,6667;687,6667;1171,1667
813248;TAMPA PROTEÇÃO DO MOTOR - GRAFITE;13672,0;4854,0;1933,0;1139,3333;809,0;644,3333;1139,3333
402036;BUCHA PLASTICA N06;13404,0;5408,0;2990,0;1117,0;901,3333;996,6667;1117,0
802036;PARTE DE FECHADURAS - CILINDRO COM CHAVE PARA MOTOR - CYLINDER;12936,0;4396,0;2192,0;1078,0;732,6667;730,6667;1078,0
804462;ACABAMENTO DO TUBO INOX PIVÔ/BARREIRA ARTICULADA;12386,0;5112,0;3137,0;1032,1667;852,0;1045,6667;1045,6667
701154;EIXO MOTOR DESLIZANTE - BRUTO;12410,0;3983,0;1974,0;1034,1667;663,8333;658,0;1034,1667
813037;ENGRENAGEM EXTERNA MOTOR 17 DENTES;12410,0;3983,0;1974,0;1034,1667;663,8333;658,0;1034,1667
401143;ABRAÇADEIRA UV PRETA 100 X 2,5;12133,0;4006,0;1994,0;1011,0833;667,6667;664,6667;1011,0833
813309;PINO DESTRAVAMENTO PIVO;12091,0;4818,0;2604,0;1007,5833;803,0;868,0;1007,5833
