"codigo","descricao","06/2025","07/2025","08/2025","09/2025","10/2025","11/2025","12/2025","01/2026","02/2026","03/2026","04/2026","05/2026","m_06/2025","m_07/2025","m_08/2025","m_09/2025","m_10/2025","m_11/2025","m_12/2025","m_01/2026","m_02/2026","m_03/2026","m_04/2026","m_05/2026","consumo_total_12_meses","media_diaria_12_meses"
"813604","ARANHA SUPERIOR SUGGAR",0,0,0,0,30,7140,14112,35280,7056,10584,15923,12768,0,0,0,0,1,238,455,1138,252,341,531,412,102893,282
"813609","PERFIL AL 5,0M SOL 7 STLF-0846 6063 T9",0,0,0,0,30,7140,14112,35280,7056,10584,15923,12768,0,0,0,0,1,238,455,1138,252,341,531,412,102893,282
"813603","EIXO AGL12,70 x 128,30 P/ TANQUINHO SUGGAR (LAV ALTA CAP) S/ REBAIXO",0,0,0,0,30,7140,14112,35280,7056,10584,15923,12768,0,0,0,0,1,238,455,1138,252,341,531,412,102893,282
"804598","PRESILHA DO MOTOR DA SUGGAR",0,0,0,0,30,7140,14112,35280,7056,10584,15923,12768,0,0,0,0,1,238,455,1138,252,341,531,412,102893,282
"401031","ARRUELA LISA M6",14152,1744,11152,16124,6156,8880,3976,4404,6372,10192,9960,8280,472,56,360,537,199,296,128,142,228,329,332,267,101392,278
"811541","SACO PLASTICO TRANSPARENTE 30CM X 15CM",10158,8758,9335,8725,9475,7939,5460,11220,7213,9261,8058,4499,339,283,301,291,306,265,176,362,258,299,269,145,100101,274
"401236","REBITE REPUXO TUB ABAU  4X18MM  ZI",19072,0,10000,18064,8064,0,12576,7056,8024,8064,0,8956,636,0,323,602,260,0,406,228,287,260,0,289,99876,274
"105018","CREPE KRAFT P792A 45X50",5015,4084,7981,8696,8920,8161,8028,19234,5091,7442,9303,7572,167,132,257,290,288,272,259,620,182,240,310,244,99526,273
"813530","ARANHA INFERIOR TANQUINHO MODELO NOVO M4",10880,8168,15947,17775,18363,8200,1946,3540,3364,4089,2573,3348,363,263,514,592,592,273,63,114,120,132,86,108,98193,269
"402012","ANEL ELÁSTICO E-20",10693,12608,10520,7838,10029,4455,5841,10976,6106,6890,8383,3164,356,407,339,261,324,148,188,354,218,222,279,102,97503,267
"813173","ARRUELA 1,2MM EIXO DESLIZANTE",7871,7188,9587,9415,10623,8544,5788,10964,8080,9134,6581,3609,262,232,309,314,343,285,187,354,289,295,219,116,97384,267
"103783","FIO ALUMÍNIO PARA BOBINAR 24 AWG",1275,691,1346,1983,1983,7175,12727,31593,3769,10110,12532,11081,43,22,43,66,64,239,411,1019,135,326,418,357,96266,264
"401014","PARAFUSO 2.9 X 6.5 A/A PAN PHS ZI",9303,9307,10027,6656,10809,6118,7065,12420,6211,9437,5823,3060,310,300,323,222,349,204,228,401,222,304,194,99,96236,264
"813250","CHAVE CILINDRO MOTOR DESLIZANTE NYLON (MODELO NOVO)",7258,6000,9218,9374,10282,8458,5888,10284,8086,9616,5688,4316,242,194,297,312,332,282,190,332,289,310,190,139,94468,259
"811311","ETIQUETA ADES. BOPP FOSCO C/DFAM 50MM X 25MM X 02 CAR",10270,7033,10210,8592,9458,6640,5196,9867,6994,7760,5884,3598,342,227,329,286,305,221,168,318,250,250,196,116,91502,251
"811306","ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR",7678,6926,8171,8387,9656,7823,5377,10279,7149,8198,7195,3776,256,223,264,280,311,261,173,332,255,264,240,122,90615,248
"402015","ANEL ELÁSTICO E12",14239,6703,11151,6930,10453,4594,5936,11651,4734,5684,4387,2476,475,216,360,231,337,153,191,376,169,183,146,80,88938,244
"401115","PARAFUSO MQ UNC SXT RI 1/4 X 1.1/4 - ZI",16380,5310,4596,4758,7854,2850,3888,13488,4392,7932,12252,4146,546,171,148,159,253,95,125,435,157,256,408,134,87846,241
"201066","ROLO ZINCADO 1,25X50 NBR-7008-ZC",5421,12900,9987,8042,9750,5110,5043,3719,6235,7189,4710,3759,181,416,322,268,315,170,163,120,223,232,157,121,81866,224
"813527","COPO DO PINO ELÁSTICO DO EIXO ESTAMPADO",6676,4800,8198,6450,9703,7034,5010,9200,6576,8708,4650,3100,223,155,264,215,313,234,162,297,235,281,155,100,80105,219
