Código,Descrição,Família,Consumo V.,Consumo P.,PR,Liberio,Estoque setor,Almoxarifado,Estoque total,Situação,Cobertura,LT,Necessidade,Nº BraZip,Data solic.,Qtd solic.,Fornecedor,Aplicação
811787,MANUAL P / AUTOMATIZADOR DZ/BV/NEW BV CENTRAL FLEX/LIGHT EM ESPANHOL SEM LOGO,Manuais,-,430.3333333333333,755,2000,750,0,750,Fazer pedido,52 dias,33.65028549382987,18.634764854737135,7135,2026-05-12 00:00:00,700,,CENTRAL FLEX / LIGHT / CCMD
811824,MANUAL LINHA STRONG 2000 SEM LOGO EM PORTUGUÊS,Manuais,-,12,25,50,15,0,15,Fazer pedido,38 dias,51.02722800925767,-13.52722800925767,7135,2026-05-12 00:00:00,100,,CENTRAL CCMD STRONG
811825,MANUAL LINHA STRONG 2000 SEM LOGO EM ESPANHOL,Manuais,-,-,-,250,600,0,600,Interno,,14.56662037037313,0,,,,,RODAR NA GRÁFICA (SOB DEMANDA)
811037,MANUAL LINHA PIVOTANTE SEM LOGO EM ESPANHOL,Manuais,-,97.16666666666667,175,500,643,0,643,Estoque em dia,7 meses,32.122314814815276,166.40255654024477,,,,,CENTRAL FLEX / DUPLA
811042,MANUAL LINHA NEW BV TURBO SEM LOGO EM ESPANHOL,Manuais,-,2.9166666666666665,10,500,0,0,0,Interno,0 dias,,0,,,,,RODAR NA GRÁFICA (SOB DEMANDA)
811033,MANUAL LINHA DZ HORIZONTAL  SEM LOGO EM PORTUGUÊS,Manuais,-,0,0,0,235,0,235,Conferir consumo,,,0,,,,,Não vai usar mais
811038,MANUAL LINHA DZ HORIZONTAL  SEM LOGO EM ESPANHOL,Manuais,-,-,-,0.1,0,0,0,Não usa,,,0,,,,,Não vai usar mais
811039,MANUAL LINHA DESLIZANTE TURBO SEM LOGO EM ESPANHOL,Manuais,-,0.08333333333333333,5,300,0,0,0,Fazer pedido,0 dias,,0,,,,,RODAR NA GRÁFICA (SOB DEMANDA)
811107,MANUAL LINHA BASCULANTE / NEW BV SEM LOGO ESPANHOL (CENTRAL FLEX / LIGHT),Manuais,-,33.333333333333336,60,300,1174,0,1174,Estoque em dia,35 meses,,0,,,,,CENTRAL FLEX / LIGHT
811034,MANUAL DE INSTALAÇÃO LINHA PIVOTANTE SEM LOGO PORTUGUÊS (CENTRAL FLEX / DUPLA),Manuais,-,484.4166666666667,850,1100,1200,0,1200,Estoque em dia,2 meses,35.09508246527548,39.22110538953271,7135,2026-05-12 00:00:00,1000,,CENTRAL FLEX / DUPLA
811041,MANUAL DE INSTALAÇÃO LINHA NEW BV TURBO SEM LOGO PORTUGUÊS (CENTRAL NEW INVERTER),Manuais,-,48.333333333333336,85,500,121,0,121,Estoque em dia,3 meses,32.106741898151085,42.99670637771098,,,,,CENTRAL NEW INVERTER
811040,MANUAL DE INSTALAÇÃO LINHA IZZY QR CODE BILINGUE,Manuais,-,1293.1666666666667,2265,7000,3000,0,3000,Estoque em dia,2 meses,29.477320601854444,40.11927689782334,,,,,CENTRAL IZZY (Pedir só até acabar as embalagens do new bv)
811106,MANUAL DE INSTALAÇÃO LINHA DESLIZANTE TURBO SEM LOGO PORTUGUÊS (CENTRAL NEW INVERTER),Manuais,-,22.75,40,500,250,0,250,Estoque em dia,11 meses,35.176550925927586,294.4937787444021,,,,,CENTRAL NEW INVERTER
811032,MANUAL DE INSTALAÇÃO LINHA DESLIZANTE BRABUS SEM LOGO BILINGUE (CENTRAL FX BRABUS),Manuais,-,72.33333333333333,130,500,500,0,500,Estoque em dia,7 meses,26.375300925930787,180.99797096347015,,,,,CENTRAL FX BRABUS
811043,MANUAL CANCELA SEM LOGO EM PORTUGUÊS,Manuais,-,70.16666666666667,125,150,50,0,50,Fazer pedido,21 dias,27.98148148148175,-6.603809272455624,7135,2026-05-12 00:00:00,300,,CANCELAS
811857,MANUAL BV CADENA ESPANHOL,Manuais,-,-,-,300,15,0,15,Interno,,,0,,,,,RODAR NA GRÁFICA (SOB DEMANDA)
811852,MANUAL BV CADENA ,Manuais,-,-,-,150,0,0,0,Interno,,,0,,,,,RODAR NA GRÁFICA (SOB DEMANDA)
209001,MANG 3/4 PRETA PESADA 3 METROS (CONSIDERAR ESTOQUE EM METROS),Diversos,-,-,-,1500,453.64,0,453.64,Não usa,,11.838373842592773,0,,,,,"Protetor dentro do tubo de inox do pivo(Não comprr mais, remover da lista quando acabar)"
402040,"MANCAL OVAL UCFL205-16 ROL UC205-16 PARA EIXO 25,4",Rolamentos,-,0.3333333333333333,5,50,157,0,157,Estoque em dia,471 meses,,0,,,,,"PRODUTO NOVO, CANCELA QUE ENTRARÁ EM LINHA DE PRODUÇÃO"
510027,INLUB GRAX MP 2/TI,Diversos,-,198.6428333333334,350,170,500.536918,0,500.536918,Estoque em dia,3 meses,21.596619405864356,53.99688320392856,,,,,30 DIAS
401224,"GRAXEIRA RETA M6 X 1,0 - ACO ZINCADO",Parafusos Geral,-,2.5,5,100,50,0,50,Estoque em dia,20 meses,,0,,,,,Movimentador de placa solar (sob demanda)
