Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,541,-14115,-19815,-20619,-31326,-36963,-41685,-43306,-43366,-43366.1,-131001.70370370311,-306275.1111111119,Unnamed: 16,194247,87635.70370370302,262909.11111111066,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Departamento,,Descrição,Seção,,,,,,,,,,,Estoque mínimo,Estoque Máximo,Curva,,Estoque min,Estoque max,,,,,,,,Carteira
FECHADURAS,1006039,TRAVA ELETROMAGNÉTICA 110V - CINZA C/ MODULO V2024,TRAVA ELETROMAGNETICA ,0,-32,-32,-32,-46,-69,-69,-71,-71,-71,-607,-1680,A,99,536,1609,0,0,0,0,0,0,,0x17
FECHADURAS,1002011,FECHADURA AGL- AL100R - 12V CINZA - 42MM CH.SIMP. F.ESP.,FECHADURA AGL - AL100R,0,-31,-31,-31,-64,-64,-64,-64,-64,-64,-2734,-8073,A,149,2670,8009,0,0,0,0,0,0,,0x17
INTERFONIA ,1203026,ACIONADOR TOUCH MINI,IMPORTADOS,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-93,-217,B,0,62,186,0,0,0,0,0,0,,0x17
FECHADURAS,1108004,GABINETE METÁLICO BRANCO VERTICAL,GABINETES,0,-30,-30,-40,-40,-40,-40,-40,-40,-40,-84,-171,B,0,44,131,0,0,0,0,0,0,,0x17
CANCELAS,1015561,"BARREIRA ARTICULADA CANCELA AGUSTA BRUSHLESS SEM LOGO DC COM LED - 3,0M",BARREIRAS PARA CANCELAS,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-31,-33,C,30,1,3,0,0,0,0,0,0,,0x17
FECHADURAS,1002036,FECHADURA AGL- AL100R - 110V CINZA - 42MM. CH.TETRA. F.ESP.,FECHADURA AGL - AL100R,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-31,C,0,0,1,0,0,0,0,0,0,,0x17
FECHADURAS,1004167,FECHADURA AGL- MINI - 12V CINZA - 42MM A. INT. CH.TETRA. F.CONV.,FECHADURA AGL-MINI,0,-29,-29,-29,-29,-29,-29,-29,-29,-29,-41,-66,C,1,12,37,0,0,0,0,0,0,,
ALMOXARIFADO,8001111,CAMISA UNISEX MANGA CURTA INSTALADOR GG,PRODUTOS DE MARKETING,0,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,C,1,0,0,0,0,0,0,0,0,,0x17
FECHADURAS,1108003,GABINETE METÁLICO PRETO 5U,GABINETES,0,-27,-27,-27,-27,-27,-27,-27,-27,-27,-115,-292,B,2,88,265,0,0,0,0,0,0,,
FECHADURAS,1007002,MODULO TEMPORIZADOR TRAVA ELETROMAGNETICA 110V,REPOSIÇÃO / DIVERSOS - FECHADURAS,0,-25,-25,-25,-25,-25,-25,-25,-25,-25,-39,-66,C,2,14,41,0,0,0,0,0,0,,0x17
FECHADURAS,1001549,FECHADURA AGL- AL100 - 12V PRETA - 42MM A.INT. CH.TETRA. F.ESP.,FECHADURA AGL - AL100,25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-36,-57,B,0,11,32,0,0,0,0,0,0,,0x17
FECHADURAS,1004191,FECHADURA AGL- MINI - 12V CINZA - AJUST. A. INT. CH.SIMP. F.CONV.,FECHADURA AGL-MINI,0,-25,-25,-25,-25,-25,-25,-25,-25,-25,-72,-165,B,0,47,140,0,0,0,0,0,0,,0x17
ELETROIMÃ,1301002,FECHADURA ELETROIMA AGL AL 150 - PRATA,FECHADURAS ELETROÍMÃ ,0,-23,-23,-23,-28,-28,-28,-28,-28,-28,-168,-449,A,88,140,421,0,0,0,0,0,0,,0x17
FECHADURAS,1004251,FECHADURA AGL- MINI - 12V PRETA - 42MM A. EXT. CH.TETRA. F.CONV.,FECHADURA AGL-MINI,9,-23,-23,-23,-23,-23,-23,-23,-23,-23,-24,-25,C,0,1,2,0,0,0,0,0,0,,
MOTORES,2009509,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÔ 0,75M",ACIONAMENTOS DE MOTORES,0,-21,-41,-41,-76,-76,-76,-76,-76,-76,-377,-980,C,528,301,904,0,0,0,0,0,0,,0x17
FECHADURAS,1108002,GABINETE METÁLICO PRETO 3U,GABINETES,0,-21,-21,-21,-21,-21,-21,-21,-21,-21,-79,-195,B,4,58,174,0,0,0,0,0,0,,0x17
INTERFONIA,1106335,MÓDULO AUTOMAÇÃO WIFI 20A AGL,IMPORTADOS,0,-21,-21,-21,-21,-21,-21,-21,-21,-21,-43,-88,C,0,22,67,0,0,0,0,0,0,,0x17
FECHADURAS,1108005,GABINETE METÁLICO BRANCO 3U,GABINETES,0,-21,-21,-21,-21,-21,-21,-21,-21,-21,-54,-119,C,9,33,98,0,0,0,0,0,0,,0x17
FECHADURAS,1001543,FECHADURA AGL- AL100 - 12V PRETA - 42MM A. INT. CH.SIMP. F.ESP.,FECHADURA AGL - AL100,0,-20,-44,-44,-46,-46,-46,-46,-46,-46,-240,-627,A,52,194,581,0,0,0,0,0,0,,0x17
FECHADURAS,1016007,CONTROLADOR DE ACESSO AGL- AL100R - 12V CINZA - 42MM CH.SIMP. F.ESP.,FECHADURA AGL - AL100R,0,-20,-20,-20,-20,-20,-20,-20,-20,-20,-149,-406,B,30,129,386,0,0,0,0,0,0,,
ALMOXARIFADO,8001004,BONÉ UNISSEX PERSONALIZADO AGL,PRODUTOS DE MARKETING,0,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,C,0,0,0,0,0,0,0,0,0,,0x17
ALMOXARIFADO,8001128,BLUSA MOLETOM UNISSEX AGL TAM: GG,PRODUTOS DE MARKETING,0,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,C,0,0,0,0,0,0,0,0,0,,0x17
