,Departamento,Unnamed: 1,DescriÃ§Ã£o,SeÃ§Ã£o,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Estoque mÃ­nimo,Estoque MÃ¡ximo,Curva,Unnamed: 17,Estoque min,Estoque max,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Carteira
98,MOTORES,2013502,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 2,5M",ACIONAMENTOS DE MOTORES,0,-10,-10,-10,-16,-16,-16,-16,-16,-16,-20,-29,C,0,4,13,0,0,0,0,0,0,,0x17
102,MOTORES,2006035,CONJ. MOVIMENTADOR INTELIGENTE - IZZY DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE INTELIGENTE IZZY,0,-8,-8,-8,-8,-13,-13,-13,-13,-13,-17,-25,B,0,4,12,0,0,0,0,0,0,,0x17
116,MOTORES,2013508,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 5,5M",ACIONAMENTOS DE MOTORES,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-8,C,7,1,3,0,0,0,0,0,0,,0x17
117,MOTORES,2013505,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 4,0M",ACIONAMENTOS DE MOTORES,0,-4,-6,-6,-7,-9,-9,-9,-9,-9,-13,-22,C,0,4,13,0,0,0,0,0,0,,
120,MOTORES,2005707,"CONJ. AUTOMATIZADOR PARA PORTA SOCIAL BRUSHLESS DZ SLIP C/R 3,30M PRETO",PORTA SOCIAL,0,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-5,C,3,0,1,0,0,0,0,0,0,,
123,MOTORES,2013507,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 5,0M",ACIONAMENTOS DE MOTORES,0,-2,-2,-2,-4,-4,-4,-4,-4,-4,-7,-13,C,2,3,9,0,0,0,0,0,0,,0x17
124,MOTORES,2007092,CONJUNTO MOVIMENTADOR TRINO PIVÃ 4 220V SEM ACIONAMENTO,PIVOTANTES SIMPLES,0,-2,-2,-2,-2,-32,-32,-32,-32,-32,-40,-55,C,11,8,23,0,0,0,0,0,0,,0x17
127,MOTORES,2009006,CONJ. MOVIMENTADOR PIVO ROBÃ STRONG 127V 50-60HZ,PIVOTANTES ROBÃ,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,C,0,0,0,0,0,0,0,0,0,,0x17
128,MOTORES,2009007,CONJ. MOVIMENTADOR PIVO ROBÃ STRONG 220V 50-60HZ,PIVOTANTES ROBÃ,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,C,0,0,1,0,0,0,0,0,0,,0x17
129,MOTORES,2008572,"ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M",ACIONAMENTOS DE MOTORES,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-6,C,0,1,4,0,0,0,0,0,0,,0x17
131,MOTORES,2008505,"ACIONAMENTO MOVIMENTADOR TRINO BV 3,5M",ACIONAMENTOS DE MOTORES,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-5,C,0,1,3,0,0,0,0,0,0,,0x17
133,MOTORES,2008503,"ACIONAMENTO MOVIMENTADOR TRINO BV 2,5M",ACIONAMENTOS DE MOTORES,0,-1,-1,-1,-2,-2,-2,-2,-2,-2,-4,-8,C,0,2,6,0,0,0,0,0,0,,0x17
140,MOTORES,2030085,ESTATOR E ROTOR P80 220V 60HZ MONTADO PARA STRONG 2000 B. ALUMINIUM/IZZY STRONG 2000,REPOSIÃÃO E DIVERSOS -MOTOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,C,0,0,0,0,0,0,0,0,0,,0x17
144,MOTORES,2013501,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 2,0M",ACIONAMENTOS DE MOTORES,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,-12,C,5,4,11,0,0,0,0,0,0,,0x17
