chave,coluna_1,coluna_2,coluna_3,coluna_4,coluna_5,coluna_6,coluna_7,coluna_8,coluna_9,coluna_10
Plastico,813009,ALAVANCA PARA DESTRAVAMENTO MANUAL,UNIDADE,UN,,7302,0,0,0,0
Plastico,804188,ALÇA DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY BRANCO,UNIDADE,UN,,26639,0,0,0,0
Plastico,804177,ALÇA DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY PRETO,UNIDADE,UN,,48913,0,0,0,0
Plastico,804270,ALMA DO BOTÃO S500,UNIDADE,UN,,22460,0,0,0,0
Plastico,208006,ANEL ENCODER - IMÃ REDONDO (ROUND MAGNET),UNIDADE,UN,,39400,1,44478,0,35822
Plastico,804114,ARRUELA FIXAÇÃO 4MM VP4,UNIDADE,UN,,7194,0,0,0,0
Plastico,804210,ARRUELA MAÇANETA PV,UNIDADE,UN,,27376,0,0,0,0
Plastico,804516,ATIVADOR MICRO SWICTH,UNIDADE,UN,,3011,0,0,0,0
Plastico,804084,BASE BOBINA 12V / 24V / 110V,UNIDADE,UN,,6121,0,0,0,0
Plastico,813503,BASE CENTRAL AUTOMAÇÃO 433 & WIFI 04-08 CANAIS,UNIDADE,UN,,458,0,0,0,0
Plastico,813038,BASE CENTRAL DO BV,UNIDADE,UN,,2778,0,0,0,0
Plastico,813257,BASE CENTRAL NEW BV,UNIDADE,UN,,3529,0,0,0,0
Plastico,804247,BASE DA CENTRAL DESLIZANTE,UNIDADE,UN,,5335,0,0,0,0
Plastico,813152,BASE DA CENTRAL DESLIZANTE INVERTER,UNIDADE,UN,,1323,0,0,0,0
Plastico,804326,BASE DE PROTEÇÃO DA CENTRAL NEW PIVO,UNIDADE,UN,,3611,0,0,0,0
Plastico,804512,BASE DE VEDAÇÃO TRAVA ELETROMAGNÉTICA (MODELO NOVO),UNIDADE,UN,,19555,0,0,0,0
Plastico,804107,BASE DO MODULO DA TRAVA,UNIDADE,UN,,5521,0,0,0,0
Plastico,804198,BASE DO NOBREAK 12V 2A,UNIDADE,UN,,2048,0,0,0,0
Plastico,804374,BASE DO NOBREAK 12V 7A,UNIDADE,UN,,2228,0,0,0,0
Plastico,804597,BASE DO TECLADO CONTROLE DE ACESSO VISION LIGHT WEB,UNIDADE,UN,,1492,0,0,0,0
Plastico,804081,BASE INFERIOR DA CENTRAL PCD-40/PCD-80,UNIDADE,UN,,1049,0,0,0,0
Plastico,804166,BASE INFERIOR DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY - BRANCO,UNIDADE,UN,,20586,0,0,0,0
Plastico,804165,BASE INFERIOR DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY - PRETO,UNIDADE,UN,,52588,0,0,0,0
Plastico,813151,BASE INFERIOR NYLON MOTORES DESLIZANTES,UNIDADE,UN,,3365,0,0,0,0
Plastico,804542,BASE INFERIOR PP MOTORES DESLIZANTES,UNIDADE,UN,,3988,0,0,0,0
Plastico,804139,BASE INTERFONE P10S / P10X / S100 / S300 - BRANCO,UNIDADE,UN,,13305,0,0,0,0
Plastico,804140,BASE INTERFONE P10S / P10X / S100 / S300 - PRETO,UNIDADE,UN,,1349,0,0,0,0
Plastico,804006,BASE INTERFONE P20 / P100 / P200 - BRANCO,UNIDADE,UN,,3175,0,0,0,0
Plastico,804013,BASE INTERFONE P20 / P100 / P200 - PRETO,UNIDADE,UN,,2338,0,0,0,0
Plastico,804194,BASE INTERFONE TDI 100 - BRANCA,UNIDADE,UN,,6850,0,0,0,0
Plastico,804519,BASE MODULO INTERFACE/INTEGRAÇÃO,UNIDADE,UN,,117,0,0,0,0
Plastico,804138,BASE MONOFONE P10S / P10X / S100 / S300 - PRETO,UNIDADE,UN,,5437,0,0,0,0
Plastico,804329,BASE MONOFONE P10S / P10X / S100 / S300 / TDI 100 - BRANCO,UNIDADE,UN,,8066,0,0,0,0
Plastico,804005,BASE MONOFONE P20 / P100 / P200 - BRANCO,UNIDADE,UN,,11199,0,0,0,0
Plastico,804011,BASE MONOFONE P20 / P100 / P200 - PRETO,UNIDADE,UN,,2027,0,0,0,0
Plastico,804472,BASE MONOFONE VP4,UNIDADE,UN,,1213,0,0,0,0
Plastico,804459,BASE NOBREAK LITHIUM/PORTA DE ENROLAR,UNIDADE,UN,,1413,0,0,0,0
Plastico,804142,BASE SUPERIOR COM LOGO DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY - BRANCO,UNIDADE,UN,,6455,0,0,0,0
Plastico,804123,BASE SUPERIOR COM LOGO DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY - PRETO,UNIDADE,UN,,53172,0,0,0,0
Plastico,804080,BASE SUPERIOR DA CENTRAL PCD-40/PCD-80,UNIDADE,UN,,102,0,0,0,0
Plastico,804246,BASE SUPERIOR NYLON DO MOTOR DESLIZANTE,UNIDADE,UN,,4317,0,0,0,0
Plastico,804261,BASE SUPERIOR NYLON DO MOTOR DESLIZANTE C/ ENCODER,UNIDADE,UN,,1436,0,0,0,0
Plastico,804540,BASE SUPERIOR PP DO MOTOR DESLIZANTE,UNIDADE,UN,,4188,0,0,0,0
Plastico,804541,BASE SUPERIOR PP DO MOTOR DESLIZANTE C/ ENCODER,UNIDADE,UN,,47,0,0,0,0
Plastico,804310,BASE SUPERIOR SEM LOGO DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY - BRANCO,UNIDADE,UN,,2194,0,0,0,0
Plastico,804259,BASE SUPERIOR SEM LOGO DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY - PRETO,UNIDADE,UN,,5996,0,0,0,0
Plastico,804276,BATOQUE ACIONADOR AF12-IRE BRANCO (EMBUTIR),UNIDADE,UN,,489,0,0,0,0
Plastico,804324,BLOQUEIO DE CARTÃO PV,UNIDADE,UN,,11431,0,0,0,0
Plastico,804118,BORRACHA PASSANTE,UNIDADE,UN,,16220,0,0,0,0
Plastico,804604,BOTÃO ABERTURA ELETRÔNICO EXTERNA FECHADURAS RX / BT-100 / BT-1 / SMART X3 - BRANCO (MODELO NOVO RET,UNIDADE,UN,,200,0,0,0,0
Plastico,804595,BOTÃO ABERTURA ELETRÔNICO EXTERNA FECHADURAS RX / BT-100 / BT-1 / SMART X3 (MODELO NOVO RETRANGULAR),UNIDADE,UN,,3891,0,0,0,0
Plastico,804224,BOTÃO ABERTURA ELETRÔNICO FECHADURA RX100 / RX200 / RX500 - BRANCO,UNIDADE,UN,,1235,0,0,0,0
Plastico,804225,BOTÃO ABERTURA ELETRÔNICO FECHADURAS RX / BT-100 / BT-1 / SMART X3 (MODELO ANTIGO) - PRETO,UNIDADE,UN,,2160,0,0,0,0
Plastico,804603,BOTÃO ABERTURA MANUAL  EXTERNA FECHADURAS RX / BT-100 / BT-1 / SMART X3 - BRANCO (MODELO NOVO RETRAN,UNIDADE,UN,,2549,0,0,0,0
Plastico,804596,BOTÃO ABERTURA MANUAL  EXTERNA FECHADURAS RX / BT-100 / BT-1 / SMART X3 (MODELO NOVO RETRANGULAR),UNIDADE,UN,,4284,0,0,0,0
Plastico,804226,BOTÃO ABERTURA MANUAL FECHADURA RX100 / RX200 / RX500 - BRANCO,UNIDADE,UN,,5313,0,0,0,0
Plastico,804227,BOTÃO ABERTURA MANUAL FECHADURAS RX / BT-100 / BT-1 / SMART X3 (MODELO ANTIGO) - PRETO,UNIDADE,UN,,7564,0,0,0,0
Plastico,804111,BOTÃO AL100R / AL100 / MINI / IX100 - AZUL,UNIDADE,UN,,5100,0,0,0,0
Plastico,804127,BOTÃO AL100R / AL100 / MINI / IX100 - CINZA,UNIDADE,UN,,4500,0,0,0,0
Plastico,804477,BOTÃO CENTRAL PORTEIRO COLETIVO INDIVIDUAL S-300,UNIDADE,UN,,30368,0,0,0,0
Plastico,804357,BOTÃO CENTRAL PORTEIRO ELETRONICO COLETIVO,UNIDADE,UN,,92540,0,0,0,0
Plastico,804204,BOTÃO DA TRAVA DE SEGURANÇA DA FECHADURA DE SOBREPOR - BRANCA,UNIDADE,UN,,2745,0,0,0,0
Plastico,804205,BOTÃO DA TRAVA DE SEGURANÇA DA FECHADURA DE SOBREPOR - PRETO,UNIDADE,UN,,18351,0,0,0,0
Plastico,804236,BOTÃO DO ACIONADOR ELETRONICO MINI SMART - BRANCO,UNIDADE,UN,,220,0,0,0,0
Plastico,804237,BOTÃO DO ACIONADOR ELETRONICO MINI SMART - PRETO,UNIDADE,UN,,8680,0,0,0,0
Plastico,804353,BOTÃO INTERFONE P10S / P10X / S100 / S300 - PRETO,UNIDADE,UN,,21425,0,0,0,0
Plastico,804007,BOTÃO INTERFONE P20 / P100 / P200 - CINZA,UNIDADE,UN,,21131,0,0,0,0
Plastico,804316,BOTÃO INTERFONE P20 / P100 / P200 - VERDE,UNIDADE,UN,,24500,0,0,0,0
Plastico,804478,BOTÃO LATERAL PORTEIRO COLETIVO INDIVIDUAL S-300,UNIDADE,UN,,58857,0,0,0,0
Plastico,804358,BOTÃO LATERAL PORTEIRO ELETRONICO COLETIVO,UNIDADE,UN,,852,0,0,0,0
Plastico,804503,BOTÃO PORTEIRO CINZA,UNIDADE,UN,,7604,0,0,0,0
Plastico,804029,BOTÃO PORTEIRO P10 / P20 / P200 / P100 - AZUL,UNIDADE,UN,,28214,0,0,0,0
Plastico,804412,BOTÃO PORTEIRO P10X - PRETO,UNIDADE,UN,,59800,0,0,0,0
Plastico,804030,BOTÃO PORTEIRO VERDE,UNIDADE,UN,,35763,0,0,0,0
Plastico,804033,BOTÃO PORTEIRO VERMELHO,UNIDADE,UN,,11697,0,0,0,0
Plastico,804113,BOTÃO PRETO ACABAMENTO CILINDRO,UNIDADE,UN,,12615,0,0,0,0
Plastico,804001,BOTÃO REDONDO ACIONADOR / BOTEIRA / CAMPAINHA DIGITAL - CINZA,UNIDADE,UN,,1838,0,0,0,0
Plastico,813172,BUCHA DE APOIO DO EIXO NO SUPORTE ORELHA,UNIDADE,UN,,61360,0,0,0,0
Plastico,813410,BUCHA DE CENTRAGEM DO EIXO DO ROTOR DZ,UNIDADE,UN,,25558,0,0,0,0
Plastico,813043,BUCHA DE CENTRAGEM DO SEM FIM DO BV/PIVO,UNIDADE,UN,,74035,0,0,0,0
Plastico,813235,BUCHA DO EIXO DESLIZANTE SEXTAVADA,UNIDADE,UN,,63037,0,0,0,0
Plastico,813006,BUCHA DO MANCAL INFERIOR,UNIDADE,UN,,9541,0,0,0,0
Plastico,804550,BUCHA PARA ROLAMENTO MOTORES DESLIZANTES/TANQUINHOS,UNIDADE,UN,,14574,0,0,0,0
