left,top,width,height,conteudo
401233,"PARCABFRANC5/16""X2""ZIC/PORCA",UNIDADE,UN,"1.372,00"
401232,"PARCABFRANC5/16""X3/4""ZIC/PORCA",UNIDADE,UN,"1.248,00"
401235,PARAFALLENC/CAB912M14X35ZB,UNIDADE,UN,"171,00"
401044,PARAFUSOA/APANPHS2.9X9.5,UNIDADE,UN,"19.273,00"
401182,PARAFUSOAÇOMETCILSXINTM10X40MMOX,UNIDADE,UN,"723,00"
401141,PARAFUSOAÇOMETCILSXINTM6X30MMOX,UNIDADE,UN,"4.121,00"
401255,PARAFUSOAÇOMETCILSXINTM8X25MMRI,UNIDADE,UN,"570,00"
401180,PARAFUSOAÇOMETCILSXINTM8X45MMOX,UNIDADE,UN,"1.345,00"
401181,PARAFUSOAÇOMETCILSXINTM8X50MMOX,UNIDADE,UN,"187,00"
401267,PARAFUSOAÇOMETS/CABSXINTPTACONCOVAM10X40MM,UNIDADE,UN,"466,00"
401228,PARAFUSOALLENRIM3X16ZI,UNIDADE,UN,"2.273,00"
401283,"PARAFUSOCABFRANCESAC/PORCA1/4X2""ZI",UNIDADE,UN,"696,00"
401227,PARAFUSOCABFRANCESAC/PORCA1/4X5/8ZI,UNIDADE,UN,"3.198,00"
401039,PARAFUSOFRANCES5/16-18X1UNCFE.ZB,UN,UN,"2.500,00"
Página,14,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:15,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
401156,PARAFUSOMADSX1/4X70MMZI,UNIDADE,UN,"27.698,00"
401190,PARAFUSOMETSXRIM10X100MMZI,UNIDADE,UN,"541,00"
401095,PARAFUSOMETSXTRIM6-1.00MAX20ZI,UNIDADE,UN,"39.961,00"
401160,PARAFUSOMQHXLM5X16MMRIT25ZBR,UNIDADE,UN,"9.337,00"
401260,PARAFUSOMQPNHXLT25TMA5X45PS30ZB(ROSCACOMPLETA),UNIDADE,UN,"10.091,00"
401164,PARAFUSOMQUNCSXRI1/4X1/2ZI,UNIDADE,UN,"70.517,00"
401115,PARAFUSOMQUNCSXTRI1/4X1.1/4-ZI,UNIDADE,UN,"43.254,00"
401254,PARAFUSOPAALLENM6x12,UNIDADE,UN,"2.641,00"
401072,PARAFUSOPAALLENM6x16,UNIDADE,UN,"21,00"
401051,PARAFUSOPAALLENM6x20,UNIDADE,UN,"1.316,00"
401136,"PARAFUSOPANCRUZ3,5MMX14MM(FABR.AGL)-ZINCADO",UNIDADE,UN,"27.899,00"
401134,"PARAFUSOPANCRUZ3,5MMX27MM(FABR.AGL)-ZINCADO",UNIDADE,UN,"41.327,00"
401257,PARAFUSOPANPHSMETRIM5X12ZB,CT,CT,"12.000,00"
401161,PARAFUSOPANZBRP/CHAVETORXM5X20MMT25,UNIDADE,UN,"45.292,00"
401162,PARAFUSOPANZBRP/CHAVETORXM5X25MMT25,UNIDADE,UN,"8.631,00"
401157,PARAFUSOPANZBRP/CHAVETORXM5X30MMT25,UNIDADE,UN,"6.301,00"
401198,PARAFUSOPLASTICPANPHILLIPS4X10ZB-ZINCADO,UNIDADE,UN,"1.878,00"
401163,PARAFUSOPLASTICPANPHS5X12MMZI,UNIDADE,UN,"251.377,00"
401108,PARAFUSOPLASTICPANPHS5X25MMZI,UNIDADE,UN,"79.620,00"
401069,PARAFUSO29X13MMA/APANPHSZI,UNIDADE,UN,"38.217,00"
401014,PARAFUSO2.9X6.5A/APANPHSZI,UNIDADE,UN,"42.957,00"
401002,PARAFUSO3.5X13A/ACH.PH-ZI,UNIDADE,UN,"54,00"
401012,PARAFUSO3.5X13CH.PH-OXI,UNIDADE,UN,"1.553,00"
401007,PARAFUSO4.8X13A/APN.PH-ZI,UNIDADE,UN,"61.324,00"
401006,PARAFUSO4.8X19PN.PH-ZI,UNIDADE,UN,"2.637,00"
401010,PARAFUSO6.3X13AAPANPHSZBR,UNIDADE,UN,"23.000,00"
802036,PARTEDEFECHADURAS-CILINDROCOMCHAVEPARAMOTOR-CYLINDER,UNIDADE,UN,AGLELETRONICOS
813047,PASSAFIODOBV,UNIDADE,UN,"8.328,00"
813395,PASSAFIODONEWBV,UNIDADE,UN,"1.850,00"
201039,PERFILALSOL7STLF-08466063T5,QUILOGRAMA,KG,AGLMOTORES
201038,PERFILALSOL7STLF-08646063,QUILOGRAMA,KG,AGLMOTORES
201109,PERFILALSTL1851CANCELAS,QUILOGRAMA,KG,AGLELETRONICOS
813557,"PERFILAL0,50MSOL7STLF-08646063",UNIDADE,UN,AGLELETRONICOS
813396,"PERFILAL0,75MSOL7STLF-08646063",UNIDADE,UN,AGLELETRONICOS
813397,"PERFILAL1,0MSOL7STLF-08646063",UNIDADE,UN,AGLELETRONICOS
813398,"PERFILAL1,4MSOL7STLF-08646063",UNIDADE,UN,AGLELETRONICOS
Página,15,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:15,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
813399,"PERFILAL1,5MSOL7STLF-08646063",UNIDADE,UN,AGLELETRONICOS
813563,"PERFILAL1,75MSOL7STLF-08646063",UNIDADE,UN,AGLELETRONICOS
813400,"PERFILAL2,0MSOL7STLF-08646063",UNIDADE,UN,AGLELETRONICOS
813558,"PERFILAL2,5MSOL7STLF-08646063",UNIDADE,UN,AGLELETRONICOS
813562,"PERFILAL3,25MSOL7STLF-08646063",UNIDADE,UN,AGLELETRONICOS
813523,"PERFILENRIJECIDOPF.UE.ZC75X40X15X01,95X6000",UNIDADE,UN,"711,30"
813482,"PERFILENRIJECIDO75X40X2PARABVCADENA1,5M",UNIDADE,UN,"17,00"
813484,"PERFILENRIJECIDO75X40X2PARABVCADENA2,0M",UNIDADE,UN,"3,00"
813494,"PERFILENRIJECIDO75X40X2PARABVCADENA3,0M",UNIDADE,UN,"1,00"
201072,PERFILSTLF-03066063T5NT6025,QUILOGRAMA,KG,"7,50"
201147,PERFILSTLF-11966063T5NT6000,QUILOGRAMA,KG,"46,57"
401207,"PFA/AJMCDRILLFLPHSC/SERRILHAPTABROCA4,2X13MMZI",UNIDADE,UN,"64.396,00"
401109,"PFA/APANPHS3,9X13MMZI",UNIDADE,UN,"2.237,00"
401169,"PFJMPPANPHS3,5X14MMZI",UNIDADE,UN,"25.043,00"
916168,PFLPCLENTEP/LEDC.6000MMLEITOSO,UNIDADE,UN,"1.761,04"
813254,PINODAGUIADECENTRAGEM,UNIDADE,UN,"18.745,28"
813511,PINODESTRAVAMENTOLINHABV/PORTACADEADOHZ/ESTICAD.CANCELA,UNIDADE,UN,"10.752,00"
701159,PINODESTRAVAMENTOMOTORDZINDUSTRIAL,UNIDADE,UN,"14,00"
813309,PINODESTRAVAMENTOPIVO,UNIDADE,UN,"1.650,00"
813237,PINODESTRAVAMENTOTRINO,UNIDADE,UN,"5.429,55"
402019,PINOELÁSTICO4X24MM,UNIDADE,UN,"52.414,00"
402014,PINOELÁSTICO4X30MM,UNIDADE,UN,"2.559,00"
701188,PINOPORTACADEADODZHORIZONTAL/ESTICADORMOLACANCELA-BRUTO,UNIDADE,UN,"3.269,00"
813327,PINOPORTACADEADODZHORIZONTAL/ESTICADORMOLACANCELA-ZINCADO,UNIDADE,UN,"120,41"
813321,PINOTRAVAPIVO-ZINCADO,UNIDADE,UN,"25,00"
911081,PLACAREVISADACENTRALBASICG,UNIDADE,UN,"498,00"
911083,PLACAREVISADACENTRALCCMDINDUSTRIAL,UNIDADE,UN,"118,00"
911085,PLACAREVISADACENTRALDUPLA,UNIDADE,UN,"320,00"
911080,PLACAREVISADACENTRALFLEX,UNIDADE,UN,"1.340,00"
911084,PLACAREVISADACENTRALIZZYINDUSTRIAL,UNIDADE,UN,"59,00"
911079,PLACAREVISADADOMODULOWIFI/BLUETOOTHCENTRALIZZY,UNIDADE,UN,"1.885,00"
911117,PLACAREVISADAFXBRABUS,UNIDADE,UN,"230,00"
911130,PLACAREVISADANOVACENTRALBASICG/LIGHT,UNIDADE,UN,"1.586,00"
911133,PLACAREVISADANOVACENTRALFLEX,UNIDADE,UN,"36,00"
911124,PLACAREVISADANOVACENTRALINVERSORA,UNIDADE,UN,"50,00"
911127,PLACAREVISADANOVACENTRALIZZY,UNIDADE,UN,AGLMOTORES
Página,16,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:15,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
401166,POFMETSEXT.M5(CH8)ZI(NSC),UNIDADE,UN,"1.596,00"
813480,PORCAACIONADORABVCADENA-PEÇAFRONTAL,UNIDADE,UN,"420,00"
813478,PORCAACIONADORABVCADENA-PEÇATRASEIRA,UNIDADE,UN,"570,00"
401230,PORCABAIXAM20MBZI,UNIDADE,UN,"738,00"
813294,PORCADOCILINDRONYLONMOTORDESLIZANTE,UNIDADE,UN,"3.426,00"
813175,PORCADOFUSODE4ENTRADA,UNIDADE,UN,"651,00"
813176,PORCADOFUSODE5ENTRADAS,UNIDADE,UN,"138,00"
813177,PORCADOFUSODE6ENTRADAS,UNIDADE,UN,"623,41"
2010189,"PORCADOFUSODE6ENTRADASPARADESLIZANTEHORIZONTAL-2,5MA3,5M",UNIDADE,UN,AGLMOTORES
813269,PORCADOFUSONEWBVP.60Ø5/8,UNIDADE,UN,"1,00"
813316,PORCADOFUSO2ENTRADASPIVO(FÊMEA),UNIDADE,UN,"661,00"
813315,PORCADOFUSO2ENTRADASPIVO(MACHO),UNIDADE,UN,"582,00"
401077,PORCAFMETSEXTAVADAM10(CH17)ZI,UNIDADE,UN,"1.192,00"
401183,PORCAFMETSEXTAVADAM14(CH22)ZI(ISC),UNIDADE,UN,"496,00"
401184,PORCAFMETSEXTAVADAM8(CH13)ZI(NSC),UNIDADE,UN,"2.390,00"
401085,PORCAFMQUNCSEXT.1/4(CH7/16)ZI(NSC),UNIDADE,UN,"78.426,00"
401199,PORCAPARLOCKMA6MMZB,UNIDADE,UN,"1.223,00"
401201,PORCAPARLOCKMA8MMZB,UNIDADE,UN,"829,00"
801236,PORTADOGABINETECANCELA-BRANCA,UNIDADE,UN,"27,00"
801243,PORTADOGABINETECANCELA-CINZA,UNIDADE,UN,"20,00"
813236,PROTEÇÃODACOROA17DENTES,UNIDADE,UN,"1.137,00"
916310,RADARFOTOELÉTRICOPARAPORTASOCIAL(HS-MW01),UNIDADE,UN,"2,00"
401173,REBITEC/ROSCASEXT.M5CAB.PLANAZB,UNIDADE,UN,"3.169,00"
916012,RECEPTORDECONTROLEREMOTOPARAAUTOMATIZADORDEPORTADEENROLARAC220V,UNIDADE,UN,"1,00"
916188,RECEPTORPARACONTROLEDEACESSOINTELIGENTE-RECEIVER-MODELO:433,UNIDADE,UN,"4,00"
2010409,RELÉDEPARTIDADOMOTORDEENROLAR,UNIDADE,UN,AGLMOTORES
402013,RETENTORGR20X30X7TCGTOP,UNIDADE,UN,"916,00"
811278,RIBBONCERA110MMX74MTS,ROLO,UN,AGLELETRONICOS
811320,RLPELICULAADESIVAREFLETIVAGRAUCOMERCIALVERMELHO(62CMX20M),METRO,MT,"34,58"
813277,ROLAMENTOPLÁSTICODOFUSOBV,UNIDADE,UN,"2.155,41"
813263,ROLAMENTOPLÁSTICOEIXOENGRENAGEM,UNIDADE,UN,"1.125,00"
411015,ROLAMENTO6004ZZ/2RS,UNIDADE,UN,"4.750,00"
411067,ROLAMENTO6205LLUC3/2AS25mmx52mmx15mm,PC,UN,"125,00"
411017,ROLAMENTOS6201-08ZZC3,PC,UN,"35.608,00"
813472,ROLDANADENYLONDOBVCADENA-PEÇAFÊMEA,UNIDADE,UN,"495,00"
813473,ROLDANADENYLONDOBVCADENA-PEÇAMACHO,UNIDADE,UN,"553,00"
Página,17,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:15,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
804095,ROLDANAPEQUENA-PRETA,UNIDADE,UN,"950,00"
201066,"ROLOZINCADO1,25X50NBR-7008-ZC",QUILOGRAMA,KG,AGLMOTORES
412027,ROTORAGLBV/PIVOP284POLOS,UNIDADE,UN,"953,00"
412161,ROTORAGLBV/PIVOP334POLOS,UNIDADE,UN,"838,00"
412095,ROTORAGLDESLP174POLOS,UNIDADE,UN,"25,00"
412371,ROTORAGLDESLP204POLOS,UNIDADE,UN,"622,00"
412081,ROTORAGLDESLP222POLOSEIXOC/VENTOINHA,UNIDADE,UN,"47,00"
412021,ROTORAGLDESLP244POLOSEIXOC/VENTOINHA,UNIDADE,UN,"113,00"
412005,ROTORAGLDESLP284POLOS,UNIDADE,UN,"45,00"
412112,ROTORAGLDESLP394POLOSEIXOC/VENTOINHA,UNIDADE,UN,"17,00"
412016,ROTORAGLDESLP454POLOSEIXOC/VENTOINHA,UNIDADE,UN,"51,00"
412153,ROTORAGLDESLP454POLOSEIXOC/VENTOINHAP/STRONG,UNIDADE,UN,"26,00"
412096,ROTORAGLDESLP604POLOSEIXOC/VENTOINHA,UNIDADE,UN,"29,00"
412036,ROTORAGLDESLP804POLOSEIXOC/VENTOINHA,UNIDADE,UN,"1,00"
412119,ROTORAGLNEWBVP174POLOS,UNIDADE,UN,"1.794,00"
412147,ROTORAGLNEWBVP284POLOS,UNIDADE,UN,"2.104,00"
412162,ROTORAGLNEWBVP334POLOS,UNIDADE,UN,"1.318,00"
412163,ROTORAGLNEWBVP394POLOS,UNIDADE,UN,"111,00"
412372,ROTORP20PIVO/BVWEG4POLOS,UNIDADE,UN,"823,00"
412373,ROTORP28PIVO/BVWEG4POLOS,UNIDADE,UN,"229,00"
811761,SACOPLASTICOTRANSPARENTE14CMX40CM,UNIDADE,UN,"1.175,00"
811505,SACOPLASTICOTRANSPARENTE14CMX9CM,UNIDADE,UN,"7.410,00"
811541,SACOPLASTICOTRANSPARENTE15CMX30CM,UNIDADE,UN,"20.126,41"
813108,SEMFIMDEDUASENTRADASAÇOBVANTIGO/BV3/BV4,UNIDADE,UN,"1.962,00"
813255,SEMFIMDEDUASENTRADASAÇODZ/NEWBV,UNIDADE,UN,"2.954,00"
813251,SEMFIMDEUMAENTRADAALUMÍNIOTRLIGTH/TR300/TR500,UNIDADE,UN,"16.676,00"
813253,SEMFIMDE1ENTRADAAÇO,UNIDADE,UN,"9.910,00"
813372,SEMFIMDOSTRONG,UNIDADE,UN,"309,00"
2010113,"SENSORDEFIMDECURSOREEDDOBASCULANTE2,0M",UNIDADE,UN,AGLMOTORES
2010114,"SENSORDEFIMDECURSOREEDDOBASCULANTE/PIVO1,5M",UNIDADE,UN,AGLMOTORES
101553,"SENSOREFEITOHALLAH3781-P-B0,30WHALLLATCHSWITCHSIP-3BULK(AH3781-P-B)",PC,UN,AGLELETRONICOS
101950,SENSORMAGNÉTICOTIPOHALLAH3722A-P-B(MODELOAH3722A-P-B),PC,UN,AGLELETRONICOS
100817,SENSORREEDSWITCH(MODELOFLEX-141315),PC,UN,AGLELETRONICOS
105002,SOLDA60X40=189L10(1/2),QUILOGRAMA,KG,"3,83"
2010123,SUPORTEBVUNIVERSAL,UNIDADE,UN,AGLMOTORES
801224,SUPORTEDABARREIRABRANCA-CANCELA,UNIDADE,UN,"2,00"
Página,18,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:15,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
801223,SUPORTEDABARREIRACINZA-CANCELA,UNIDADE,UN,"43,00"
813282,SUPORTEDABUCHAMANCAL,UNIDADE,UN,"19,00"
813521,SUPORTEDABUCHAMANCALMODELONOVO(P/EIXO20MM),UNIDADE,UN,"1.880,00"
801273,SUPORTEDASBATERIASCANCELAAGUSTA-BRANCA,UNIDADE,UN,"2,00"
801272,SUPORTEDASBATERIASCANCELAAGUSTA-CINZA,UNIDADE,UN,"21,00"
801244,SUPORTEDASFONTESCANCELAAGUSTA-BRANCA,UNIDADE,UN,"3,00"
801242,SUPORTEDASFONTESCANCELAAGUSTA-CINZA,UNIDADE,UN,"108,00"
701194,SUPORTEDEFIXAÇÃOPARACONJUNTOTANQUINHO,UNIDADE,UN,"273,00"
813331,SUPORTEDEINSTALAÇÃODOIMÃDZ,UNIDADE,UN,"1.581,00"
813508,SUPORTEDOENCODERINDUSTRIAL/DZ300SEMTAMPA,UNIDADE,UN,"4.415,00"
813144,SUPORTEDOIMADEFIMDECURSODESLIZANTE,UNIDADE,UN,"3.524,00"
813490,SUPORTEDOMICROSWICHBVCADENA-ZINCADO,UNIDADE,UN,"212,00"
813267,SUPORTEENCODER,UNIDADE,UN,"823,00"
813051,SUPORTEFIMDECURSOBASCULANTE/DESLIZANTE,UNIDADE,UN,"50.840,82"
804483,SUPORTEFIMDECURSODESLIZANTE(LADODIREITO),UNIDADE,UN,"2.711,00"
804482,SUPORTEFIMDECURSODESLIZANTE(LADOESQUERDO),UNIDADE,UN,"7.362,00"
2010245,SUPORTEORELHADOBASCULANTECOMBUCHADEAPOIOESUPORTEDABUCHA,UNIDADE,UN,AGLMOTORES
813281,SUPORTEORELHADOBV/PIVÔ,UNIDADE,UN,"2.673,00"
813306,SUPORTEORELHADONEWBV,UNIDADE,UN,"2.333,67"
804096,SUPORTEROLDANAPEQUENA-PRETA,UNIDADE,UN,"1.727,00"
813517,SUPORTEUNIVERSALPORCADOFUSO,UNIDADE,UN,"907,00"
801232,TAMPAARTICULAÇÃOSECUNDÁRIAZINCADA-BARREIRAARTICULADACANCELA,UNIDADE,UN,"4,00"
2010059,TAMPABRANCAPARAMOTORAGLIZZYTRINO500SPEEDCOMVENEZIANA,UNIDADE,UN,AGLMOTORES
804461,TAMPACANCELA,UNIDADE,UN,"39,00"
804248,TAMPADACENTRALDESLIZANTE,UNIDADE,UN,"884,00"
804426,TAMPADACENTRALDESLIZANTEINVERTER,UNIDADE,UN,"684,00"
813179,TAMPADACENTRALDOBV,UNIDADE,UN,"503,00"
813256,TAMPADACENTRALNEWBV,UNIDADE,UN,"794,00"
813180,TAMPADACENTRALPIVODUPLO,UNIDADE,UN,"156,00"
804327,TAMPADEPROTEÇÃODACENTRALNEWPIVO,UNIDADE,UN,"109,19"
813033,TAMPADEPROTEÇÃODAVENTOINHA,UNIDADE,UN,"3.147,00"
804398,TAMPADOCILINDROEXTERNOULTRACARD/MAGICCARD-PRETA,UNIDADE,UN,"800,00"
813509,TAMPADOENCODERINDUSTRIAL/DZ300,UNIDADE,UN,"9.242,00"
804108,TAMPADOMODULODATRAVA,UNIDADE,UN,"33,00"
804431,TAMPADOMOTORINDUSTRIAL,UNIDADE,UN,"3,00"
813476,TAMPADOPERFILBVCADENA,UNIDADE,UN,"4,00"
Página,19,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:15,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
813266,TAMPAENCODER,UNIDADE,UN,"1.096,00"
813487,TAMPAINFERIORBVCADENA-CINZA,UNIDADE,UN,"67,00"
813034,TAMPALISADOREDUTORDACARCAÇADOBASCULANTE,UNIDADE,UN,"1.160,00"
813203,TAMPAPROTEÇÃODOMOTOR-BRANCA,UNIDADE,UN,"22,00"
813036,TAMPAPROTEÇÃODOMOTOR-CINZA,UNIDADE,UN,"895,00"
813248,TAMPAPROTEÇÃODOMOTOR-GRAFITE,UNIDADE,UN,"513,00"
813024,TAMPAPROTEÇÃODOMOTOR-PRETA,UNIDADE,UN,"160,00"
813488,TAMPASUPERIORBVCADENA-CINZA,UNIDADE,UN,"71,00"
813409,TAMPÃODAENGRENAGEMEXTERNAMOTORESDZ,UNIDADE,UN,"6.691,00"
804207,TAMPÃODOSENSORHALL/IMÃLINHAULTRA-PRETO,UNIDADE,UN,"1.596,00"
813274,TAMPÃOGABINETECANCELA,UNIDADE,UN,"10.185,00"
411039,TARUGOPECINZA10MM,METRO,MT,"10.197,80"
102555,TECLADOEMBORRACHAPARACONTROLEREMOTO-RUBBERKEY4KEYSBLACK,UNIDADE,UN,AGLELETRONICOS
102565,TECLADOEMBORRACHAPARACONTROLEREMOTO-RUBBERKEY4KEYSWHITE,UNIDADE,UN,AGLELETRONICOS
103549,"TERMINALFASTONFEMEAISOLADO0,5-1,5MM",UNIDADE,UN,AGLELETRONICOS
103869,TERMINALFASTONTFF6911,UNIDADE,UN,AGLELETRONICOS
811818,TERMODEGARANTIAESPANHOL,UNIDADE,UN,"1.476,00"
804458,TRAVADEAPOIODABARREIRACANCELAAGUSTA,UNIDADE,UN,"190,00"
813325,TRAVAMAIORSUPORTEFX.DZHORIZONTAL-ZINCADO,UNIDADE,UN,"2,00"
813319,TRAVAMAIORSUPORTEFXPIVO-ZINCADO,UNIDADE,UN,"506,00"
813320,TRAVAMENORSUPORTEFXPIVO-ZINCADO,UNIDADE,UN,"356,00"
813324,TRAVASDEARTICULAÇÃOFIX.DZHORIZONTAL-ZINCADO,UNIDADE,UN,"4,00"
813458,"TUBODEINOXCORTADOPARAPIVO0,50M",UNIDADE,UN,"191,00"
813459,"TUBODEINOXCORTADOPARAPIVO0,75M",UNIDADE,UN,"450,00"
813460,"TUBODEINOXCORTADOPARAPIVO1,0M",UNIDADE,UN,"160,00"
813461,"TUBODEINOXCORTADOPARAPIVO1,5M",UNIDADE,UN,"78,00"
801233,"TUBOØ20,5MMZINCADO-BARREIRAARTICULADACANCELA",UNIDADE,UN,"14,00"
801230,TUBOROTATIVOLISOØ12MMZINCADO-BARREIRAARTICULADACANCELA,UNIDADE,UN,"20,00"
801247,TUBOROTATIVORASGOØ12MMZINCADO-BARREIRAARTICULADACANCELA,UNIDADE,UN,"20,00"
402021,"TUBOTERMOCONTRATIL2,5/1,3mmPRETO",METRO,MT,"200,00"
411048,"TUBO304A554C/C25,40X1,20MMPOLIDO",METRO,UN,"1.581,01"
205015,"TUBO304A554C/C25,40X3,00MMPOLIDO",METRO,MT,AGLMOTORES
813039,VENEZIANADOSMOTORES,UNIDADE,UN,"2.359,00"
813025,VENTOINHADOSMOTORES,UNIDADE,UN,"1.577,00"
TOTALLOCALDEESTOQUE:,MOTORES,"3.194.532,83","455.949,02","403.449,93"
,,,,
Página,20,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:16,,,
,,,,
TOTALGERAL,"3.194.532,83","455.949,02","403.449,93",
,,,,
Página,21,/,21,
